,Intent,Query,Param
0,GetWeather,what is going on with the weather far from my current location,far current location
1,SEND_MESSAGE,Message Mike and ask him if I can get laundry done tonight,[SL:RECIPIENT Mike ] and ask him if [SL:CONTENT_EXACT I can get laundry done tonight ] 
2,SEARCH,where does the phrase dressed to the nines,NONE
3,SEND_MESSAGE,tell my dad I am busy and will call him later,[SL:RECIPIENT 
4,SEARCH,when does the day of the dead end,NONE
5,SEARCH,who played the daughters in last man standing,NONE
6,SEARCH,who sang the song you got a friend in me,NONE
7,SEND_MESSAGE,Send message to Raymond asking him what time the real estate seminar starts on Friday.,[SL:RECIPIENT Raymond ] asking him [SL:CONTENT_EXACT what time the real estate seminar starts on Friday ] . 
8,GetWeather,tell me the weather forecast for my current spot on dec fourth 2021,current spot dec fourth 2021
9,GET_MESSAGE,please launch chat requests,
10,GetWeather,what is the weather not far from current position,not far current position
11,GetWeather,what is the forecast for warm weather in carl,warm carl
12,SEND_MESSAGE,Send Sara and Zak a message saying to 'call me'.,[SL:RECIPIENT Sara ] and [SL:RECIPIENT Zak ] a message saying to ' [SL:CONTENT_EXACT call me ] ' . 
13,GET_MESSAGE,show my chats,
14,SEARCH,how long do nhl players stay on waivers,NONE
15,SEND_MESSAGE,message linda that sorority is at 7 p.m. again,[SL:RECIPIENT linda ] that [SL:CONTENT_EXACT sorority is at 7 p.m . again ] 
16,GET_MESSAGE,Do I have unread messages on Messenger?,[SL:TAG_MESSAGE unread ] messages on [SL:RESOURCE Messenger ] ? 
17,GET_MESSAGE,Do I have any nofitications for the Soccer Meetup?,[SL:CONTENT_EXACT the Soccer Meetup ] ? 
18,SEARCH,who had won the first grammy award for the best new artist,NONE
19,GetWeather,will there be fog in nebraska,fog nebraska
20,GetWeather,warren island state park distant weather forecast for 11 am,warren island state park distant 11 am
21,PlayMusic,please play this is the day by brian robertson,this is the day brian robertson
22,SEND_MESSAGE,Message Kevin and ask him if he is received all of the money he needs for the medical fundraiser.,[SL:RECIPIENT Kevin ] and ask him if [SL:CONTENT_EXACT he is received all of the money he needs for the medical fundraiser ] . 
23,SEND_MESSAGE,Please tell Joao that the fundraiser moved to the speedway.,[SL:RECIPIENT Joao ] that [SL:CONTENT_EXACT the fundraiser moved to the speedway ] . 
24,SEND_MESSAGE,Message Lee and tell we are going to the Jimmy Buffet concert.,[SL:RECIPIENT Lee ] and tell [SL:CONTENT_EXACT we are going to the Jimmy Buffet concert ] . 
25,PlayMusic,use the service zvooq to play merengue music,zvooq merengue
26,GetWeather,what s the weather going to be in 7 hours in fm,in 7 hours fm
27,GET_MESSAGE,i want to see chats,
28,GetWeather,is it going to be chilly in belarus,chilly belarus
29,GetWeather,how much hotter will it be here tomorrow,hotter here tomorrow
30,SEARCH,how many nuclear power plants in washington state,NONE
31,SEND_MESSAGE,"Let my brother, Jeff, know that dinner is at Sally's at 6:00.",[SL:RECIPIENT 
32,PlayMusic,play me music from the twenties on itunes,twenties itunes
33,GetWeather,tell me the weather forecast for inniswold réunion,inniswold réunion
34,SEARCH,who scored the most points in their nba career,NONE
35,GetWeather,what s the forecast for ks for jan first,ks jan first
36,SEARCH,what percentage of the u.s. budget is spent on foreign aid,NONE
37,SEARCH,what college does everyone in gossip girl go to,NONE
38,GetWeather,tell me when it will be warmer in my current position,warmer current position
39,SEND_MESSAGE,Let Jim know that I'm on my way,[SL:RECIPIENT Jim ] know that [SL:CONTENT_EXACT I'm on my way ] 
40,GetWeather,i need the weather in hubbardston will it be chillier,hubbardston chillier
41,GET_MESSAGE,Who sent me a message?,[SL:RECIPIENT me ] a message ? 
42,SEARCH,where was the tv show high chaparral filmed,NONE
43,GetWeather,will it be windy at 4 pm in ny,windy 4 pm ny
44,SEND_MESSAGE,Ask mom if she knows any good places nearby with deep dish pizza.,[SL:RECIPIENT 
45,PlayMusic,play some seventies track from top rie tomosaka,seventies track top rie tomosaka
46,GetWeather,what is the forecast for temperate weather in bellechester,temperate bellechester
47,GetWeather,show weather forecast in east tawakoni italy at four pm,east tawakoni italy four pm
48,PlayMusic,play vimeo 2009 by desmond dekker,vimeo 2009 desmond dekker
49,SEARCH,what is the largest island of north america,NONE
50,SEARCH,what color is the cue ball in pool,NONE
51,SEARCH,who was the leader of the soviet union when the berlin wall was built,NONE
52,GetWeather,will it be nice here and in the same area,here in the same area
53,PlayMusic,please play a song off the curtis lee album rough diamonds,song curtis lee album rough diamonds
