question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
when was the last time anyone was on the moon,14 December 1972 UTC,December 1972,,,,,,,,,,,,,,,,,,,,,
who wrote he ain't heavy he's my brother lyrics,Bobby Scott,Bob Russell,,,,,,,,,,,,,,,,,,,,,
how many seasons of the bastard executioner are there,one,one season,,,,,,,,,,,,,,,,,,,,,
when did the eagles win last super bowl,2017,,,,,,,,,,,,,,,,,,,,,,
who won last year's ncaa women's basketball,South Carolina,,,,,,,,,,,,,,,,,,,,,,
when did the isle of wight become an island,During the last Ice Age,,,,,,,,,,,,,,,,,,,,,,
love yourself by justin bieber is about who,Rihanna,,,,,,,,,,,,,,,,,,,,,,
who was the ruler of england in 1616,James I,,,,,,,,,,,,,,,,,,,,,,
what is the hot coffee mod in san andreas,a normally inaccessible mini-game,,,,,,,,,,,,,,,,,,,,,,
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s,,,,,,,,,,,,,,,,,,,,,,
which state is located in the centre of india,Chhattisgarh,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,,
who sang i ran all the way home,The Impalas,,,,,,,,,,,,,,,,,,,,,,
where did the last name wallace come from,a Scottish surname,,,,,,,,,,,,,,,,,,,,,,
who was the actor that played ben stone on law and order,Michael Moriarty,,,,,,,,,,,,,,,,,,,,,,
who does the voice of nala in the lion king,Niketa Calame,Sally Dworsky,Moira Kelly,Laura Williams,,,,,,,,,,,,,,,,,,,
who plays gram on the young and the restless,Max Shippee,,,,,,,,,,,,,,,,,,,,,,
what is the oath that new citizens take,United States Oath of Allegiance,,,,,,,,,,,,,,,,,,,,,,
who is under the mask of darth vader,Anakin Skywalker,,,,,,,,,,,,,,,,,,,,,,
who had a baby at 100 in the bible,Sarah,Abraham,,,,,,,,,,,,,,,,,,,,,
what age do you need to be to buy a bb gun,18,,,,,,,,,,,,,,,,,,,,,,
ethiopia flight 961 crashes in to the sea,23 November 1996,,,,,,,,,,,,,,,,,,,,,,
where was percy jackson and the olympians filmed,Vancouver,"Mission, British Columbia",,,,,,,,,,,,,,,,,,,,,
how many seasons of vampire diaries r there,eight,8,,,,,,,,,,,,,,,,,,,,,
how many episodes are there in dragon ball z,291 episodes,291,,,,,,,,,,,,,,,,,,,,,
who plays auggie in the movie the wonder,Jacob Tremblay,,,,,,,,,,,,,,,,,,,,,,
when was the first australian prime minister elected,Sir Edmund Barton,1901,,,,,,,,,,,,,,,,,,,,,
who plays matthew on anne with an e,R. H. Thomson,,,,,,,,,,,,,,,,,,,,,,
who is the girl in green day 21 guns,Lisa Stelly,,,,,,,,,,,,,,,,,,,,,,
who plays joker in batman the dark knight,Ledger,,,,,,,,,,,,,,,,,,,,,,
when was the south asian association for regional co-operation (saarc) formed,December 1985,8 December 1985,,,,,,,,,,,,,,,,,,,,,
when was the first hunger games book published,"September 14, 2008",2008,,,,,,,,,,,,,,,,,,,,,
who did bette midler portray in the rose,Mary Rose Foster,,,,,,,,,,,,,,,,,,,,,,
who is the lead singer of depeche mode,David Gahan,,,,,,,,,,,,,,,,,,,,,,
where did the butchers in the slaughterhouse cases live,New Orleans,,,,,,,,,,,,,,,,,,,,,,
who developed the concept of total quality management,W. Edwards Deming,,,,,,,,,,,,,,,,,,,,,,
