index,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,count get common,count send common,VRB,ADJ,NON,common_t_g,common_s_p_m_t,output
0,what is going on with the weather far from my current location,0,0,12,62,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,2,0,0,2,2,2,1,1,GetWeather
1,Message Mike and ask him if I can get laundry done tonight,0,0,12,58,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,3,1,3,0,1,SEND_MESSAGE
2,where does the phrase dressed to the nines,0,0,8,42,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,SEARCH
3,tell my dad I am busy and will call him later,0,0,11,45,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,2,1,1,1,SEND_MESSAGE
4,when does the day of the dead end,0,0,8,33,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,2,0,0,SEARCH
5,who played the daughters in last man standing,0,0,8,45,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
6,who sang the song you got a friend in me,0,0,10,40,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,2,0,2,0,0,SEARCH
7,Send message to Raymond asking him what time the real estate seminar starts on Friday.,0,0,15,86,0,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,0,2,2,2,6,0,1,SEND_MESSAGE
8,tell me the weather forecast for my current spot on dec fourth 2021,0,0,13,67,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,1,2,4,1,1,GetWeather
9,please launch chat requests,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,GET_MESSAGE
10,what is the weather not far from current position,0,0,9,49,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,2,0,0,1,3,2,0,0,GetWeather
11,what is the forecast for warm weather in carl,0,0,9,45,0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,3,0,0,1,1,3,0,0,GetWeather
12,Send Sara and Zak a message saying to 'call me'.,0,0,10,48,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,4,0,1,SEND_MESSAGE
13,show my chats,0,0,3,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,GET_MESSAGE
14,how long do nhl players stay on waivers,0,0,8,39,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,2,2,0,0,SEARCH
15,message linda that sorority is at 7 p.m. again,0,0,9,46,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,4,0,1,SEND_MESSAGE
16,Do I have unread messages on Messenger?,0,1,7,39,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,0,1,GET_MESSAGE
17,Do I have any nofitications for the Soccer Meetup?,0,1,9,50,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,3,0,0,GET_MESSAGE
18,who had won the first grammy award for the best new artist,0,0,12,58,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,2,3,3,0,0,SEARCH
19,will there be fog in nebraska,0,0,6,29,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,1,0,0,GetWeather
20,warren island state park distant weather forecast for 11 am,0,0,10,59,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,2,0,6,0,0,GetWeather
21,please play this is the day by brian robertson,0,0,9,46,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,3,1,2,0,0,PlayMusic
22,Message Kevin and ask him if he is received all of the money he needs for the medical fundraiser.,0,0,19,97,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,1,4,1,4,0,1,SEND_MESSAGE
23,Please tell Joao that the fundraiser moved to the speedway.,0,0,10,59,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,2,0,4,1,1,SEND_MESSAGE
24,Message Lee and tell we are going to the Jimmy Buffet concert.,0,0,12,62,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,2,0,6,2,3,SEND_MESSAGE
25,use the service zvooq to play merengue music,0,0,8,44,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,1,0,4,0,0,PlayMusic
26,what s the weather going to be in 7 hours in fm,0,0,12,47,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0,3,0,3,1,1,GetWeather
27,i want to see chats,0,0,5,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,1,GET_MESSAGE
28,is it going to be chilly in belarus,0,0,8,35,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,3,1,1,1,1,GetWeather
29,how much hotter will it be here tomorrow,0,0,8,40,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,2,2,0,0,GetWeather
30,how many nuclear power plants in washington state,0,0,8,49,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,4,0,0,SEARCH
31,"Let my brother, Jeff, know that dinner is at Sally's at 6:00.",0,0,12,61,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,2,5,0,4,0,0,SEND_MESSAGE
32,play me music from the twenties on itunes,0,0,8,41,0,0,0,0,0,0,0,0,0,4,0,1,0,1,3,0,0,0,1,0,3,0,0,PlayMusic
33,tell me the weather forecast for inniswold réunion,0,0,8,50,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,1,3,1,1,GetWeather
34,who scored the most points in their nba career,0,0,9,46,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
35,what s the forecast for ks for jan first,0,0,9,40,0,0,0,1,0,0,0,0,1,5,0,0,1,1,0,1,0,0,1,1,3,0,0,GetWeather
36,what percentage of the u.s. budget is spent on foreign aid,0,0,11,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,2,2,3,0,0,SEARCH
37,what college does everyone in gossip girl go to,0,0,9,47,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,0,0,SEARCH
38,tell me when it will be warmer in my current position,0,0,11,53,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,1,1,1,1,GetWeather
39,Let Jim know that I'm on my way,0,0,8,31,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,2,0,0,SEND_MESSAGE
40,i need the weather in hubbardston will it be chillier,0,0,10,53,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,2,1,3,0,0,GetWeather
41,Who sent me a message?,0,1,5,22,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,GET_MESSAGE
42,where was the tv show high chaparral filmed,0,0,8,43,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,1,3,0,0,SEARCH
43,will it be windy at 4 pm in ny,0,0,9,30,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,2,0,0,GetWeather
44,Ask mom if she knows any good places nearby with deep dish pizza.,0,0,13,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,4,4,0,0,SEND_MESSAGE
45,play some seventies track from top rie tomosaka,0,0,8,47,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,2,1,3,0,0,PlayMusic
46,what is the forecast for temperate weather in bellechester,0,0,9,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,0,0,1,0,4,0,0,GetWeather
47,show weather forecast in east tawakoni italy at four pm,0,0,10,55,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,1,5,0,0,GetWeather
48,play vimeo 2009 by desmond dekker,0,0,6,33,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,4,0,0,PlayMusic
49,what is the largest island of north america,0,0,8,43,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,2,2,0,0,SEARCH
50,what color is the cue ball in pool,0,0,8,34,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,0,4,0,0,SEARCH
51,who was the leader of the soviet union when the berlin wall was built,0,0,14,69,0,1,0,0,0,0,0,1,0,8,0,0,2,0,0,0,0,0,3,1,4,0,0,SEARCH
52,will it be nice here and in the same area,0,0,10,41,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,1,3,1,0,0,GetWeather
53,please play a song off the curtis lee album rough diamonds,0,0,11,58,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,3,1,4,0,0,PlayMusic
