,Intent,Query,Param
0,GetWeather,what is going on with the weather far from my current location,far current location
1,SEND_MESSAGE,Message Mike and ask him if I can get laundry done tonight,[SL:RECIPIENT Mike ] and ask him if [SL:CONTENT_EXACT I can get laundry done tonight ] 
2,SEARCH,where does the phrase dressed to the nines,NONE
3,SEND_MESSAGE,tell my dad I am busy and will call him later,[SL:RECIPIENT 
4,SEARCH,when does the day of the dead end,NONE
5,SEARCH,who played the daughters in last man standing,NONE
6,SEARCH,who sang the song you got a friend in me,NONE
7,SEND_MESSAGE,Send message to Raymond asking him what time the real estate seminar starts on Friday.,[SL:RECIPIENT Raymond ] asking him [SL:CONTENT_EXACT what time the real estate seminar starts on Friday ] . 
8,GetWeather,tell me the weather forecast for my current spot on dec fourth 2021,current spot dec fourth 2021
9,GET_MESSAGE,please launch chat requests,
10,GET_MESSAGE,delight launching chat requests,
11,GetWeather,what is the weather not far from current position,not far current position
12,GetWeather,what is the forecast for warm weather in carl,warm carl
13,SEND_MESSAGE,Send Sara and Zak a message saying to 'call me'.,[SL:RECIPIENT Sara ] and [SL:RECIPIENT Zak ] a message saying to ' [SL:CONTENT_EXACT call me ] ' . 
14,GET_MESSAGE,show my chats,
15,GET_MESSAGE,exhibit my chats,
16,SEARCH,how long do nhl players stay on waivers,NONE
17,SEND_MESSAGE,message linda that sorority is at 7 p.m. again,[SL:RECIPIENT linda ] that [SL:CONTENT_EXACT sorority is at 7 p.m . again ] 
18,GET_MESSAGE,Do I have unread messages on Messenger?,[SL:TAG_MESSAGE unread ] messages on [SL:RESOURCE Messenger ] ? 
19,GET_MESSAGE,Do I receive unread content on Messenger?,[SL:TAG_MESSAGE unread ] messages on [SL:RESOURCE Messenger ] ? 
20,GET_MESSAGE,Do I have any nofitications for the Soccer Meetup?,[SL:CONTENT_EXACT the Soccer Meetup ] ? 
21,GET_MESSAGE,Do I have any nofitications for the Soccer Meetup?,[SL:CONTENT_EXACT the Soccer Meetup ] ? 
22,SEARCH,who had won the first grammy award for the best new artist,NONE
23,GetWeather,will there be fog in nebraska,fog nebraska
24,GetWeather,warren island state park distant weather forecast for 11 am,warren island state park distant 11 am
25,PlayMusic,please play this is the day by brian robertson,this is the day brian robertson
26,SEND_MESSAGE,Message Kevin and ask him if he is received all of the money he needs for the medical fundraiser.,[SL:RECIPIENT Kevin ] and ask him if [SL:CONTENT_EXACT he is received all of the money he needs for the medical fundraiser ] . 
27,SEND_MESSAGE,Please tell Joao that the fundraiser moved to the speedway.,[SL:RECIPIENT Joao ] that [SL:CONTENT_EXACT the fundraiser moved to the speedway ] . 
28,SEND_MESSAGE,Message Lee and tell we are going to the Jimmy Buffet concert.,[SL:RECIPIENT Lee ] and tell [SL:CONTENT_EXACT we are going to the Jimmy Buffet concert ] . 
29,PlayMusic,use the service zvooq to play merengue music,zvooq merengue
30,GetWeather,what s the weather going to be in 7 hours in fm,in 7 hours fm
31,GET_MESSAGE,i want to see chats,
32,GET_MESSAGE,i require to see chat,
33,GetWeather,is it going to be chilly in belarus,chilly belarus
34,GetWeather,how much hotter will it be here tomorrow,hotter here tomorrow
35,SEARCH,how many nuclear power plants in washington state,NONE
36,SEND_MESSAGE,"Let my brother, Jeff, know that dinner is at Sally's at 6:00.",[SL:RECIPIENT 
37,PlayMusic,play me music from the twenties on itunes,twenties itunes
38,GetWeather,tell me the weather forecast for inniswold réunion,inniswold réunion
39,SEARCH,who scored the most points in their nba career,NONE
40,GetWeather,what s the forecast for ks for jan first,ks jan first
41,SEARCH,what percentage of the u.s. budget is spent on foreign aid,NONE
42,SEARCH,what college does everyone in gossip girl go to,NONE
43,GetWeather,tell me when it will be warmer in my current position,warmer current position
44,SEND_MESSAGE,Let Jim know that I'm on my way,[SL:RECIPIENT Jim ] know that [SL:CONTENT_EXACT I'm on my way ] 
45,GetWeather,i need the weather in hubbardston will it be chillier,hubbardston chillier
46,GET_MESSAGE,Who sent me a message?,[SL:RECIPIENT me ] a message ? 
47,GET_MESSAGE,World health organization sent me a substance?,[SL:RECIPIENT me ] a message ? 
48,SEARCH,where was the tv show high chaparral filmed,NONE
49,GetWeather,will it be windy at 4 pm in ny,windy 4 pm ny
50,SEND_MESSAGE,Ask mom if she knows any good places nearby with deep dish pizza.,[SL:RECIPIENT 
51,PlayMusic,play some seventies track from top rie tomosaka,seventies track top rie tomosaka
52,GetWeather,what is the forecast for temperate weather in bellechester,temperate bellechester
