,Intent,Query,Param
0,GET_MESSAGE,read my text message,
1,GET_MESSAGE,Messages,
2,GET_MESSAGE,read messages on phone,
3,GET_MESSAGE,Read text message,
4,GET_MESSAGE,read message,
5,GET_MESSAGE,Read me my messages,
6,GET_MESSAGE,Read text message,
7,SEND_MESSAGE,text David that I will be home later and send message,[SL:RECIPIENT David ] that [SL:CONTENT_EXACT I will be home later ] and send message 
8,GET_MESSAGE,go to my text messages,
9,GET_MESSAGE,Do I have any messages,
10,SEND_MESSAGE,Message my son and tell him football practice is at 5 a.m.,[SL:RECIPIENT 
11,SEND_MESSAGE,Message Billy Bob and ask her if she has my green blouse from last week,[SL:RECIPIENT Billy Bob ] and ask her if [SL:CONTENT_EXACT she has my green blouse from last week ] 
12,SEND_MESSAGE,message Cindy and see if she ever got her windshield fixed.,[SL:RECIPIENT Cindy ] and see if [SL:CONTENT_EXACT she ever got her windshield fixed ] . 
13,REACT_MESSAGE,Like the message my boss posted yesterday,[SL:TYPE_REACTION Like ] the message [SL:RECIPIENT 
14,SEND_MESSAGE,Message Erma and ask if I left my coat in her car.,[SL:RECIPIENT Erma ] and ask if [SL:CONTENT_EXACT I left my coat in her car ] . 
15,SEND_MESSAGE,Ask if Aubrey is running late,[SL:CONTENT_EXACT Aubrey is running late ] 
16,REACT_MESSAGE,Like the message Ruby just sent,[SL:TYPE_REACTION Like ] the message [SL:RECIPIENT Ruby ] just sent 
17,SEND_MESSAGE,Message Carlos and ask him what was up his wife last Saturday.,[SL:RECIPIENT Carlos ] and ask him [SL:CONTENT_EXACT what was up his wife last Saturday ] . 
18,SEND_MESSAGE,ask erica to send me the pictures of Noa she took at the event,[SL:RECIPIENT erica ] to [SL:CONTENT_EXACT send me the pictures of Noa she took at the event ] 
19,SEND_MESSAGE,message the group i'm almost there,[SL:CONTENT_EXACT i'm almost there ] 
20,SEND_MESSAGE,Ask Lauren when she will be home,[SL:RECIPIENT Lauren ] [SL:CONTENT_EXACT when she will be home ] 
21,SEND_MESSAGE,"post to sabrina, congrats on the baby","[SL:RECIPIENT sabrina ] , [SL:CONTENT_EXACT congrats on the baby ] "
22,SEND_MESSAGE,Tell my daughter I liked her post a message,[SL:RECIPIENT 
23,SEND_MESSAGE,Message Fred asking if he will be attending this evening's Latin club meeting.,[SL:RECIPIENT Fred ] asking if [SL:CONTENT_EXACT he will be attending this evening 's Latin club meeting ] . 
24,REACT_MESSAGE,Like Virginia's photo sent in the group chat.,[SL:TYPE_REACTION Like ] [SL:RECIPIENT Virginia ] 's [SL:TYPE_CONTENT photo ] sent in the group chat . 
25,SEND_MESSAGE,Send a message to my client letting her know i am running late,[SL:RECIPIENT my client ] letting her know [SL:CONTENT_EXACT i am running late ] 
26,SEND_MESSAGE,Send a message to Louise and ask if I left my wallet in her car.,[SL:RECIPIENT Louise ] and ask if [SL:CONTENT_EXACT I left my wallet in her car ] . 
27,SEND_MESSAGE,Message Rick and ask what time will he arrive tomorrow morning.,[SL:RECIPIENT Rick ] and ask [SL:CONTENT_EXACT what time will he arrive tomorrow morning ] . 
