,Intent,Query,Param1,Param2
0,PlayMusic,play the last song by goldie,O O B-sort B-music_item O B-artist,"B-sort(last), B-music_item(song), B-artist(goldie),"
1,GetWeather,will it be warmer at 15 o clock in deepwater bonaire,O O O O B-condition_temperature O B-timeRange I-timeRange I-timeRange O B-city B-country,"B-condition_temperature(warmer), B-timeRange(15), I-timeRange(o), I-timeRange(clock), B-city(deepwater), B-country(bonaire),"
2,GetWeather,what is the weather in arkansas the city of morrison,O O O O O B-state O O O B-city,"B-state(arkansas), B-city(morrison),"
3,GetWeather,whats the forecast for greece,O O O O O B-country,"B-country(greece),"
4,PlayMusic,want to hear a chant by nellie mckay from the year 2008,O O O O O B-music_item O B-artist I-artist O O O B-year,"B-music_item(chant), B-artist(nellie), I-artist(mckay), B-year(2008),"
5,GetWeather,will it get chillier in arkinda myanmar,O O O O B-condition_temperature O B-city B-country,"B-condition_temperature(chillier), B-city(arkinda), B-country(myanmar),"
6,PlayMusic,play a cohesive playlist for me,O O B-playlist O O O,"B-playlist(cohesive),"
7,PlayMusic,i want to hear techno-industrial music,O O O O B-genre O,"B-genre(techno-industrial),"
8,PlayMusic,play some bertine zetlitz record,O O B-artist I-artist B-music_item,"B-artist(bertine), I-artist(zetlitz), B-music_item(record),"
9,PlayMusic,play barry manilow from the twenties,O B-artist I-artist O O B-year,"B-artist(barry), I-artist(manilow), B-year(twenties),"
10,GetWeather,what will the weather be like here on dec 8 2019,O O O O O O B-current_location O B-timeRange I-timeRange I-timeRange,"B-current_location(here), B-timeRange(dec), I-timeRange(8), I-timeRange(2019),"
11,GetWeather,is it freezing near medley,O O B-condition_temperature B-spatial_relation B-city,"B-condition_temperature(freezing), B-spatial_relation(near), B-city(medley),"
12,GetWeather,what will the weather be like on january 16 2030 in rainbow falls state park,O O O O O O O B-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(january), I-timeRange(16), I-timeRange(2030), B-geographic_poi(rainbow), I-geographic_poi(falls), I-geographic_poi(state), I-geographic_poi(park),"
13,GetWeather,what is the weather forecast in 2 seconds for south carolina,O O O O O B-timeRange I-timeRange I-timeRange O B-state I-state,"B-timeRange(in), I-timeRange(2), I-timeRange(seconds), B-state(south), I-state(carolina),"
14,PlayMusic,play a record by black wall street records,O O O B-music_item O B-artist I-artist I-artist I-artist,"B-music_item(record), B-artist(black), I-artist(wall), I-artist(street), I-artist(records),"
15,PlayMusic,let s listen to the most popular marty friedman songs on zvooq,O O O O O B-sort I-sort B-artist I-artist O O B-service,"B-sort(most), I-sort(popular), B-artist(marty), I-artist(friedman), B-service(zvooq),"
16,GetWeather,i need to know the weather seven weeks from now in morgan–monroe state forest,O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(seven), I-timeRange(weeks), I-timeRange(from), I-timeRange(now), B-geographic_poi(morgan–monroe), I-geographic_poi(state), I-geographic_poi(forest),"
17,GetWeather,when it comes to dukes and the district of columbia what will the weather be in one hour,O O O O B-city O O B-state I-state I-state O O O O O B-timeRange I-timeRange I-timeRange,"B-city(dukes), B-state(district), I-state(of), I-state(columbia), B-timeRange(in), I-timeRange(one), I-timeRange(hour),"
18,GetWeather,will it be hotter in ct at 6 am,O O O B-condition_temperature O B-state O B-timeRange I-timeRange,"B-condition_temperature(hotter), B-state(ct), B-timeRange(6), I-timeRange(am),"
19,GetWeather,is it going to get windy today in tunisia,O O O O O B-condition_description B-timeRange O B-country,"B-condition_description(windy), B-timeRange(today), B-country(tunisia),"
20,PlayMusic,play a martyn bennett from 1957 on pandora,O O B-artist I-artist O B-year O B-service,"B-artist(martyn), I-artist(bennett), B-year(1957), B-service(pandora),"
21,GetWeather,what is the pw forecast for jul 9 in robert,O O O B-state O O B-timeRange I-timeRange O B-city,"B-state(pw), B-timeRange(jul), I-timeRange(9), B-city(robert),"
22,PlayMusic,play slow rock music on vimeo,O B-genre I-genre O O B-service,"B-genre(slow), I-genre(rock), B-service(vimeo),"
23,GetWeather,what will the weather be ten minutes from now in canada,O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-country,"B-timeRange(ten), I-timeRange(minutes), I-timeRange(from), I-timeRange(now), B-country(canada),"
24,PlayMusic,play the track siberian khatru on zvooq,O O B-music_item B-track I-track O B-service,"B-music_item(track), B-track(siberian), I-track(khatru), B-service(zvooq),"
25,PlayMusic,play music from the seventies for me,O O O O B-year O O,"B-year(seventies),"
26,GetWeather,will there be sun in the manassas national battlefield park,O O O B-condition_description O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-condition_description(sun), B-geographic_poi(manassas), I-geographic_poi(national), I-geographic_poi(battlefield), I-geographic_poi(park),"
27,PlayMusic,please play music from itunes,O O O O O B-service,"B-service(itunes),"
28,PlayMusic,play some classical music on spotify,O O B-genre O O B-service,"B-genre(classical), B-service(spotify),"
29,GetWeather,what is the weather supposed to be like in new jersey three months from now,O O O O O O O O O B-state I-state B-timeRange I-timeRange I-timeRange I-timeRange,"B-state(new), I-state(jersey), B-timeRange(three), I-timeRange(months), I-timeRange(from), I-timeRange(now),"
30,PlayMusic,i want to hear some theme music by edsel dope,O O O O O B-music_item O O B-artist I-artist,"B-music_item(theme), B-artist(edsel), I-artist(dope),"
31,PlayMusic,play some new age music,O O B-genre I-genre O,"B-genre(new), I-genre(age),"
32,GetWeather,what s the weather forecast for arizona city,O O O O O O O B-city I-city,"B-city(arizona), I-city(city),"
33,GetWeather,what aree the weather conditions not far from poneto,O O O O O O B-spatial_relation I-spatial_relation O B-city,"B-spatial_relation(not), I-spatial_relation(far), B-city(poneto),"
34,PlayMusic,play music from 2015,O O O B-year,"B-year(2015),"
35,PlayMusic,play some dj qbert,O O O B-artist I-artist,"B-artist(dj), I-artist(qbert),"
36,PlayMusic,can you use pandora to play a soundtrack from 1999 by david sitek,O O O O B-service O O O B-music_item O B-year O B-artist I-artist,"B-service(pandora), B-music_item(soundtrack), B-year(1999), B-artist(david), I-artist(sitek),"
37,GetWeather,will it be foggy now close to jolley,O O O B-condition_description B-timeRange B-spatial_relation O B-city,"B-condition_description(foggy), B-timeRange(now), B-spatial_relation(close), B-city(jolley),"
38,GetWeather,will there be a fog here this week,O O O O O B-current_location O B-timeRange,"B-current_location(here), B-timeRange(week),"
39,GetWeather,tell me the weather forecast 1 hour from now in big thicket national preserve,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(1), I-timeRange(hour), I-timeRange(from), I-timeRange(now), B-geographic_poi(big), I-geographic_poi(thicket), I-geographic_poi(national), I-geographic_poi(preserve),"
40,PlayMusic,play some salsa music,O O B-genre O,"B-genre(salsa),"
41,GetWeather,what is the weather forecast close to puerto rico,O O O O O O B-spatial_relation O B-country I-country,"B-spatial_relation(close), B-country(puerto), I-country(rico),"
42,GetWeather,weather for marshall,O O O B-city,"B-city(marshall),"
43,PlayMusic,play a chaos of desire from dan snaith,O B-album I-album I-album I-album O B-artist I-artist,"B-album(a), I-album(chaos), I-album(of), I-album(desire), B-artist(dan), I-artist(snaith),"
44,GetWeather,will there be a blizzard at a 4 am in sky valley,O O O O O B-condition_description O O B-timeRange I-timeRange O B-city I-city,"B-condition_description(blizzard), B-timeRange(4), I-timeRange(am), B-city(sky), I-city(valley),"
45,PlayMusic,play the playlist feel good dinner,O O O B-playlist I-playlist I-playlist,"B-playlist(feel), I-playlist(good), I-playlist(dinner),"
46,PlayMusic,play ray davies on iheart by only hit it again,O B-artist I-artist O B-service O O B-track I-track I-track,"B-artist(ray), I-artist(davies), B-service(iheart), B-track(hit), I-track(it), I-track(again),"
47,GetWeather,what is the forecast in mer rouge and palestine,O O O O O B-city I-city O B-country,"B-city(mer), I-city(rouge), B-country(palestine),"
48,GetWeather,what is the forecast for temperate weather in bellechester,O O O O O B-condition_temperature O O B-city,"B-condition_temperature(temperate), B-city(bellechester),"
