,Intent,Query,Param1,Param2
0,GET_MESSAGE,Show my messages,O O O,
1,GET_MESSAGE,Play a message,O O O,
2,GET_MESSAGE,Read the first message,O O SL:ORDINAL O,SL:ORDINAL(first)
3,GET_MESSAGE,Can you read all my new messages?,O O O SL:AMOUNT O SL:TAG_MESSAGE O,SL:AMOUNT(all) SL:TAG_MESSAGE(new)
4,GET_MESSAGE,Read me this weeks messages from Rodan & Fields,O O SL:DATE_TIME O O SL:SENDER,SL:DATE_TIME(this weeks) SL:SENDER(Rodan & Fields)
5,GET_MESSAGE,Read all of the unread message,O SL:AMOUNT O O SL:TAG_MESSAGE O,SL:AMOUNT(all) SL:TAG_MESSAGE(unread)
6,GET_MESSAGE,Read me all messages sent between 8 AM and 12 PM.,O O SL:AMOUNT O O SL:DATE_TIME.,SL:AMOUNT(all) SL:DATE_TIME(between 8 AM and 12 PM)
7,GET_MESSAGE,Read all messages,O SL:AMOUNT O,SL:AMOUNT(all)
8,GET_MESSAGE,What did my cousin say in her message last week?,O O O O O O O O O O,
9,GET_MESSAGE,Please play any of my unread messages.,O O O O O SL:TAG_MESSAGE O,SL:TAG_MESSAGE(unread)
10,GET_MESSAGE,Read me the message form 6am this morning.,O O O O O O O O,SL:DATE_TIME(6 am this morning)
11,GET_MESSAGE,What message was on last Tuesday to Collene,O O O SL:DATE_TIME O SL:SENDER,SL:DATE_TIME(on last Tuesday) SL:SENDER(Collene)
12,GET_MESSAGE,Read me all my unread messages.,O O SL:AMOUNT O SL:TAG_MESSAGE O,SL:AMOUNT(all) SL:TAG_MESSAGE(unread)
13,GET_MESSAGE,"I am back from lunch, any messages?",O O O O O O O,
14,GET_MESSAGE,Have I received a message from the doctor today?,O SL:RECIPIENT O O O O SL:SENDER SL:DATE_TIME?,SL:RECIPIENT(I) SL:SENDER(the doctor) SL:DATE_TIME(today)
15,GET_MESSAGE,Did I send a message to Kira this morning?,O SL:SENDER O O O O SL:RECIPIENT SL:DATE_TIME?,SL:SENDER(I) SL:RECIPIENT(Kira) SL:DATE_TIME(this morning)
