,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,count get common,count send common,VRB,ADJ,NON,common_t_g,common_s_p_m_t,output
0,what is going on with the weather far from my current location,0,0,12,62,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,2,0,0,2,2,2,1,1,GetWeather
1,Message Mike and ask him if I can get laundry done tonight,0,0,12,58,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,3,1,3,0,1,SEND_MESSAGE
2,where does the phrase dressed to the nines,0,0,8,42,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,SEARCH
3,tell my dad I am busy and will call him later,0,0,11,45,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,2,1,1,1,SEND_MESSAGE
4,when does the day of the dead end,0,0,8,33,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,2,0,0,SEARCH
5,who played the daughters in last man standing,0,0,8,45,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
6,who sang the song you got a friend in me,0,0,10,40,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,2,0,2,0,0,SEARCH
7,Send message to Raymond asking him what time the real estate seminar starts on Friday.,0,0,15,86,0,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,0,2,2,2,6,0,1,SEND_MESSAGE
8,tell me the weather forecast for my current spot on dec fourth 2021,0,0,13,67,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,0,1,2,4,1,1,GetWeather
9,please launch chat requests,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,GET_MESSAGE
10,delight launching chat requests,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,GET_MESSAGE
11,what is the weather not far from current position,0,0,9,49,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,2,0,0,1,3,2,0,0,GetWeather
12,what is the forecast for warm weather in carl,0,0,9,45,0,0,0,1,0,0,0,0,1,5,1,0,0,0,0,3,0,0,1,1,3,0,0,GetWeather
13,Send Sara and Zak a message saying to 'call me'.,0,0,10,48,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,4,0,1,SEND_MESSAGE
14,show my chats,0,0,3,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,GET_MESSAGE
15,exhibit my chats,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,GET_MESSAGE
16,how long do nhl players stay on waivers,0,0,8,39,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,2,2,0,0,SEARCH
17,message linda that sorority is at 7 p.m. again,0,0,9,46,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,4,0,1,SEND_MESSAGE
18,Do I have unread messages on Messenger?,0,1,7,39,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,0,1,GET_MESSAGE
19,Do I receive unread content on Messenger?,0,1,7,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,GET_MESSAGE
20,Do I have any nofitications for the Soccer Meetup?,0,1,9,50,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,3,0,0,GET_MESSAGE
21,Do I have any nofitications for the Soccer Meetup?,0,1,9,50,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,3,0,0,GET_MESSAGE
22,who had won the first grammy award for the best new artist,0,0,12,58,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,2,3,3,0,0,SEARCH
23,will there be fog in nebraska,0,0,6,29,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,1,0,0,GetWeather
24,warren island state park distant weather forecast for 11 am,0,0,10,59,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,2,0,6,0,0,GetWeather
25,please play this is the day by brian robertson,0,0,9,46,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,3,1,2,0,0,PlayMusic
26,Message Kevin and ask him if he is received all of the money he needs for the medical fundraiser.,0,0,19,97,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,1,4,1,4,0,1,SEND_MESSAGE
27,Please tell Joao that the fundraiser moved to the speedway.,0,0,10,59,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,2,0,4,1,1,SEND_MESSAGE
28,Message Lee and tell we are going to the Jimmy Buffet concert.,0,0,12,62,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,2,0,6,2,3,SEND_MESSAGE
29,use the service zvooq to play merengue music,0,0,8,44,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,1,0,4,0,0,PlayMusic
30,what s the weather going to be in 7 hours in fm,0,0,12,47,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,1,0,0,3,0,3,1,1,GetWeather
31,i want to see chats,0,0,5,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,1,GET_MESSAGE
32,i require to see chat,0,0,5,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,1,0,1,GET_MESSAGE
33,is it going to be chilly in belarus,0,0,8,35,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,3,1,1,1,1,GetWeather
34,how much hotter will it be here tomorrow,0,0,8,40,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,2,2,0,0,GetWeather
35,how many nuclear power plants in washington state,0,0,8,49,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,4,0,0,SEARCH
36,"Let my brother, Jeff, know that dinner is at Sally's at 6:00.",0,0,12,61,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,2,5,0,4,0,0,SEND_MESSAGE
37,play me music from the twenties on itunes,0,0,8,41,0,0,0,0,0,0,0,0,0,4,0,1,0,1,3,0,0,0,1,0,3,0,0,PlayMusic
38,tell me the weather forecast for inniswold réunion,0,0,8,50,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,1,1,3,1,1,GetWeather
39,who scored the most points in their nba career,0,0,9,46,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
40,what s the forecast for ks for jan first,0,0,9,40,0,0,0,1,0,0,0,0,1,5,0,0,1,1,0,1,0,0,1,1,3,0,0,GetWeather
41,what percentage of the u.s. budget is spent on foreign aid,0,0,11,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,2,2,3,0,0,SEARCH
42,what college does everyone in gossip girl go to,0,0,9,47,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,0,0,SEARCH
43,tell me when it will be warmer in my current position,0,0,11,53,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,1,1,1,1,GetWeather
44,Let Jim know that I'm on my way,0,0,8,31,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,2,0,0,SEND_MESSAGE
45,i need the weather in hubbardston will it be chillier,0,0,10,53,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,2,1,3,0,0,GetWeather
46,Who sent me a message?,0,1,5,22,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,GET_MESSAGE
47,World health organization sent me a substance?,0,1,7,46,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4,0,0,GET_MESSAGE
48,where was the tv show high chaparral filmed,0,0,8,43,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,1,3,0,0,SEARCH
49,will it be windy at 4 pm in ny,0,0,9,30,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,2,0,2,0,0,GetWeather
50,Ask mom if she knows any good places nearby with deep dish pizza.,0,0,13,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,4,4,0,0,SEND_MESSAGE
51,play some seventies track from top rie tomosaka,0,0,8,47,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,2,1,3,0,0,PlayMusic
52,what is the forecast for temperate weather in bellechester,0,0,9,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,0,0,1,0,4,0,0,GetWeather
53,show weather forecast in east tawakoni italy at four pm,0,0,10,55,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,1,5,0,0,GetWeather
