,Intent,Query,Param
0,SEND_MESSAGE,Ask Taylor what time the dinner ends.,[SL:RECIPIENT Taylor ] [SL:CONTENT_EXACT what time the dinner ends ] . 
1,GET_MESSAGE,view my chats,
2,GET_MESSAGE,Did anyone text me last night?,[SL:RECIPIENT me ] [SL:DATE_TIME last night ] ? 
3,SEND_MESSAGE,Message Jacky asking him to come over,[SL:RECIPIENT Jacky ] asking him to [SL:CONTENT_EXACT come over ] 
4,PlayMusic,can i hear tod ashley music from 1953,tod ashley 1953
5,SEND_MESSAGE,send a text to my brother adn tell him to remember batteris,[SL:RECIPIENT 
6,SEND_MESSAGE,send a message to all friends that I do not want to  get any more chain letters on social media,[SL:AMOUNT all ] [SL:RECIPIENT 
7,SEND_MESSAGE,Tell Sandy that she missed the potluck for Bunco yesterday.,[SL:RECIPIENT Sandy ] that [SL:CONTENT_EXACT she missed the potluck for Bunco yesterday ] . 
8,PlayMusic,play saturday nights & sunday mornings,saturday nights & sunday mornings
9,SEND_MESSAGE,Message Michele and Amy and let them know the show starts at 8 pm and I will meet them at 7:30 outside the venue.,[SL:RECIPIENT Michele ] and [SL:RECIPIENT Amy ] and let them know [SL:CONTENT_EXACT the show starts at 8 pm and I will meet them at 7 : 30 outside the venue ] . 
10,SEND_MESSAGE,Tell my wife that I have booked the spa date for us on Saturday at 10 am.,[SL:RECIPIENT 
11,GetWeather,will there be rainfall faraway from uganda,rainfall faraway uganda
12,GET_MESSAGE,Play video message from Skype app.,[SL:TYPE_CONTENT video ] message from [SL:RESOURCE Skype ] app . 
13,GetWeather,forecast in layhigh,layhigh
14,SEND_MESSAGE,Tell Nancy I can be there tomorrow morning.,[SL:RECIPIENT Nancy ] [SL:CONTENT_EXACT I can be there tomorrow morning ] . 
15,SEND_MESSAGE,Send a message to Kathy saying I will be there in 20 minutes,[SL:RECIPIENT Kathy ] saying [SL:CONTENT_EXACT I will be there in 20 minutes ] 
16,PlayMusic,play fifties from sirusho harutyunyan,fifties sirusho harutyunyan
17,PlayMusic,play music from lastfm,lastfm
18,PlayMusic,play some classical music on spotify,classical spotify
19,GetWeather,is it forecast to be hot in greenland this winter,hot greenland this winter
20,SEND_MESSAGE,Message my aunt to tell her thank you for the presents,[SL:RECIPIENT 
21,SEND_MESSAGE,Send message to shakira that I will meet her at Sangertown,[SL:RECIPIENT shakira ] that [SL:CONTENT_EXACT I will meet her at Sangertown ] 
22,GET_MESSAGE,show me my chats,
