,Intent,Query,Param
0,PlayMusic,play the last song by goldie,last song goldie
1,GetWeather,will it be warmer at 15 o clock in deepwater bonaire,warmer 15 o clock deepwater bonaire
2,GetWeather,what is the weather in arkansas the city of morrison,arkansas morrison
3,GetWeather,whats the forecast for greece,greece
4,PlayMusic,want to hear a chant by nellie mckay from the year 2008,chant nellie mckay 2008
5,GetWeather,will it get chillier in arkinda myanmar,chillier arkinda myanmar
6,PlayMusic,play a cohesive playlist for me,cohesive
7,PlayMusic,i want to hear techno-industrial music,techno-industrial
8,PlayMusic,play some bertine zetlitz record,bertine zetlitz record
9,PlayMusic,play barry manilow from the twenties,barry manilow twenties
10,GetWeather,what will the weather be like here on dec 8 2019,here dec 8 2019
11,GetWeather,is it freezing near medley,freezing near medley
12,GetWeather,what will the weather be like on january 16 2030 in rainbow falls state park,january 16 2030 rainbow falls state park
13,GetWeather,what is the weather forecast in 2 seconds for south carolina,in 2 seconds south carolina
14,PlayMusic,play a record by black wall street records,record black wall street records
15,PlayMusic,let s listen to the most popular marty friedman songs on zvooq,most popular marty friedman zvooq
16,GetWeather,i need to know the weather seven weeks from now in morgan–monroe state forest,seven weeks from now morgan–monroe state forest
17,GetWeather,when it comes to dukes and the district of columbia what will the weather be in one hour,dukes district of columbia in one hour
18,GetWeather,will it be hotter in ct at 6 am,hotter ct 6 am
19,GetWeather,is it going to get windy today in tunisia,windy today tunisia
20,PlayMusic,play a martyn bennett from 1957 on pandora,martyn bennett 1957 pandora
21,GetWeather,what is the pw forecast for jul 9 in robert,pw jul 9 robert
22,PlayMusic,play slow rock music on vimeo,slow rock vimeo
23,GetWeather,what will the weather be ten minutes from now in canada,ten minutes from now canada
24,PlayMusic,play the track siberian khatru on zvooq,track siberian khatru zvooq
25,PlayMusic,play music from the seventies for me,seventies
26,GetWeather,will there be sun in the manassas national battlefield park,sun manassas national battlefield park
27,PlayMusic,please play music from itunes,itunes
28,PlayMusic,play some classical music on spotify,classical spotify
29,GetWeather,what is the weather supposed to be like in new jersey three months from now,new jersey three months from now
30,PlayMusic,i want to hear some theme music by edsel dope,theme edsel dope
31,PlayMusic,play some new age music,new age
32,GetWeather,what s the weather forecast for arizona city,arizona city
33,GetWeather,what aree the weather conditions not far from poneto,not far poneto
34,PlayMusic,play music from 2015,2015
35,PlayMusic,play some dj qbert,dj qbert
36,PlayMusic,can you use pandora to play a soundtrack from 1999 by david sitek,pandora soundtrack 1999 david sitek
37,GetWeather,will it be foggy now close to jolley,foggy now close jolley
38,GetWeather,will there be a fog here this week,here week
39,GetWeather,tell me the weather forecast 1 hour from now in big thicket national preserve,1 hour from now big thicket national preserve
40,PlayMusic,play some salsa music,salsa
41,GetWeather,what is the weather forecast close to puerto rico,close puerto rico
42,GetWeather,weather for marshall,marshall
43,PlayMusic,play a chaos of desire from dan snaith,a chaos of desire dan snaith
44,GetWeather,will there be a blizzard at a 4 am in sky valley,blizzard 4 am sky valley
45,PlayMusic,play the playlist feel good dinner,feel good dinner
46,PlayMusic,play ray davies on iheart by only hit it again,ray davies iheart hit it again
47,GetWeather,what is the forecast in mer rouge and palestine,mer rouge palestine
48,GetWeather,what is the forecast for temperate weather in bellechester,temperate bellechester
49,GetWeather,was the weather colder last august at stunt ranch santa monica mountains reserve,colder last august stunt ranch santa monica mountains reserve
50,PlayMusic,play the album axum,album axum
51,GetWeather,is it going to be cold once i get within walking distance of my home in new caledonia,cold within walking distance new caledonia
52,PlayMusic,play the energic itunes,energic itunes
53,PlayMusic,play iheart,iheart
54,PlayMusic,play some seventies track from top rie tomosaka,seventies track top rie tomosaka
55,GetWeather,what s the weather going to be like at 10:21:20 close by id,10:21:20 close by id
56,PlayMusic,give me some hank shermann from 1975 on lastfm,hank shermann 1975 lastfm
57,PlayMusic,play music by francis healy,francis healy
58,PlayMusic,play pura vida,pura vida
59,GetWeather,whats the weather in fernando new jersey,fernando new jersey
60,PlayMusic,play the tyranny of distance by willy mason,the tyranny of distance willy mason
61,PlayMusic,play the track siberian khatru on zvooq,track siberian khatru zvooq
62,PlayMusic,play chant music by pappu venugopala rao on slacker,chant pappu venugopala rao slacker
63,GetWeather,what is the forecast for january twenty-eighth in kentmore park,january twenty-eighth kentmore park
64,PlayMusic,play music by christian bautista,christian bautista
65,GetWeather,how cold is it going to be in san marcial ak in one second,cold san marcial ak in one second
66,GetWeather,how cold is it around the current location now,cold around current location now
67,GetWeather,tell me if it ll be chilly 1 second from now here,chilly 1 second from now here
68,GetWeather,will it be hotter netherlands antilles flats on april the 27th,hotter netherlands antilles flats april the 27th
69,PlayMusic,play soundtrack by armand van helden,soundtrack armand van helden
70,GetWeather,how s the weather in mowrystown,mowrystown
71,GetWeather,is it freezing at jasmund national park,freezing jasmund national park
72,GetWeather,what will the weather be in mattawan saint barthélemy,mattawan saint barthélemy
73,GetWeather,what s the weather in close by my current position,close by current position
74,GetWeather,i need the weather at eleven am in argentina,eleven am argentina
75,GetWeather,will it be even hotter 2 years from now in el jebel niger,hotter 2 years from now el jebel niger
76,GetWeather,what s the weather forecast near to fern creek this winter,near fern creek this winter
77,GetWeather,show cloud forcast in 1 hour in ia,cloud in 1 hour ia
78,PlayMusic,play a melody by avery storm,melody avery storm
79,GetWeather,will it be freezing 5 seconds from now in patmos,freezing 5 seconds from now patmos
80,GetWeather,how much hotter will it be here tomorrow,hotter here tomorrow
81,GetWeather,what s the weather in pennsylvania,pennsylvania
82,PlayMusic,i want to hear some of david gilmour s music from 1973,david gilmour 1973
83,GetWeather,will it be windy at 4 pm in ny,windy 4 pm ny
84,GetWeather,what is the forecast for the current place for sun on january sixth 2028 within walking distance,current place sun january sixth 2028 within walking distance
85,GetWeather,what is the weather forecast in brunei,brunei
86,GetWeather,what will the weather be in romania at 4,romania 4
87,GetWeather,is it going to hail in niger,hail niger
88,GetWeather,what is the forecast for here,here
89,PlayMusic,play music on netflix,netflix
90,GetWeather,i want food in zaleski,zaleski
91,GetWeather,want to know the hot weather situation in netherlands december 4,hot netherlands december 4
92,GetWeather,what is the weather forecast for djibouti,djibouti
93,PlayMusic,play the most popular ep by marcel khalife on netflix,most popular ep marcel khalife netflix
94,PlayMusic,play the playlist spring,spring
95,GetWeather,what is the weather forecast in country club heights,country club heights
96,GetWeather,warren island state park distant weather forecast for 11 am,warren island state park distant 11 am
97,GetWeather,forecast for morse shores kansas,morse shores kansas
98,GetWeather,will it be freezing close to my current location,freezing close current location
99,PlayMusic,play the playlist spring,spring
100,GetWeather,what s the weather forecast for tn on december seventh 2026,tn december seventh 2026
101,PlayMusic,play me a song by hank thompson from moa anbessa,song hank thompson moa anbessa
102,GetWeather,is it going to be chilly today in abo wi,chilly today abo wi
103,PlayMusic,play me a song from voices & images,song voices & images
104,GetWeather,what is the forecast here for september 16,here september 16
105,GetWeather,what s the weather in organ pipe cactus national monument,organ pipe cactus national monument
106,PlayMusic,i would like to hear music from 1993,1993
107,GetWeather,what is the weather like within walking distance of the bothwell lodge state historic site,within walking distance bothwell lodge state historic site
108,GetWeather,is it cloudy in the same area of lynn shore reservation,cloudy in the same area lynn shore reservation
109,PlayMusic,play the greatest 1972 album by wes dakus,greatest 1972 album wes dakus
110,PlayMusic,play lil hardin armstrong from itunes,lil hardin armstrong itunes
111,GetWeather,what s the weather forecast for the dominican republic,dominican republic
112,PlayMusic,play miyavi s music from seventies on google music,miyavi seventies google music
113,GetWeather,will the sun come out here,sun here
114,PlayMusic,play songs of heaven by ami koshimizu,songs of heaven ami koshimizu
115,PlayMusic,play murder the mountains by mana on netflix,murder the mountains mana netflix
116,GetWeather,what s the weather forecast for tomorrow around sankertown,tomorrow around sankertown
117,PlayMusic,play a concerto from sam sparro,concerto sam sparro
118,PlayMusic,play a movement from the nineties,movement nineties
119,PlayMusic,play some stephen jones on youtube,stephen jones youtube
120,GetWeather,what does it feel like in east cove national wildlife refuge,east cove national wildlife refuge
121,PlayMusic,play some rockwell from around 1996,rockwell 1996
122,GetWeather,will there be a storm in palm city wv,storm palm city wv
123,PlayMusic,play some dance music,dance
124,GetWeather,what is the american samoa forecast for hot weather,american samoa hot
125,PlayMusic,play some sister rosetta tharpe songs from the eighties,sister rosetta tharpe eighties
126,GetWeather,what is the weather forecast in langdon,langdon
127,GetWeather,what s the weather forecast for niue at two am,niue two am
128,GetWeather,what will the weather be like in louisiana will it be colder then now,louisiana colder now
129,PlayMusic,play hardcore music,hardcore
130,PlayMusic,play lukasz gottwald album on zvooq,lukasz gottwald album zvooq
131,GetWeather,what does it feel like in east cove national wildlife refuge,east cove national wildlife refuge
132,GetWeather,what is the weather like in wallis and futuna,wallis and futuna
133,GetWeather,what will the weather be in bernie id,bernie id
134,GetWeather,what s the weather in germantown hills,germantown hills
135,GetWeather,weather for my current location tomorrow,current location tomorrow
136,GetWeather,can you give me the weather for here,here
137,PlayMusic,play me some seventies music with a good melody,seventies good melody
138,GetWeather,will it be warm in hematite,warm hematite
139,GetWeather,what is the weather forecast one minute from now in macao,one minute from now macao
140,GetWeather,what s the weather forecast for tomorrow around sankertown,tomorrow around sankertown
141,PlayMusic,play me a song from 1972 by sweet emma barrett,song 1972 sweet emma barrett
142,PlayMusic,i want to listen to nineties chant songs,nineties chant
143,PlayMusic,play me some grunge music,grunge
144,GetWeather,is there a blizzard in tennessee colony ks,blizzard tennessee colony ks
145,PlayMusic,play an eighties track,eighties track
146,PlayMusic,play a 1999 track by pete seeger on youtube,1999 track pete seeger youtube
147,PlayMusic,please play jim martin on vimeo,jim martin vimeo
148,GetWeather,what will the weather be like may the 10th in rocky boy wi,may the 10th rocky boy wi
149,PlayMusic,i want to hear music on itunes,itunes
