,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,VRB,ADJ,NON,output
0,play the last song by goldie,0,0,6,28,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,1,1,2,PlayMusic
1,will it be warmer at 15 o clock in deepwater bonaire,0,0,11,52,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,2,1,3,GetWeather
2,what is the weather in arkansas the city of morrison,0,0,10,52,0,0,0,1,0,0,0,0,1,6,0,0,2,0,0,1,1,0,3,GetWeather
3,whats the forecast for greece,0,0,5,29,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,GetWeather
4,want to hear a chant by nellie mckay from the year 2008,0,0,12,55,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,1,1,4,PlayMusic
5,will it get chillier in arkinda myanmar,0,0,7,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,2,GetWeather
6,play a cohesive playlist for me,0,0,6,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,1,PlayMusic
7,i want to hear techno-industrial music,0,0,6,38,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,1,2,PlayMusic
8,play some bertine zetlitz record,0,0,5,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,PlayMusic
9,play barry manilow from the twenties,0,0,6,36,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,1,0,3,PlayMusic
10,what will the weather be like here on dec 8 2019,0,0,11,48,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,2,1,1,2,GetWeather
11,is it freezing near medley,0,0,5,26,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,GetWeather
12,what will the weather be like on january 16 2030 in rainbow falls state park,0,0,15,76,0,0,0,1,0,0,0,0,0,6,0,1,0,1,0,4,1,1,5,GetWeather
13,what is the weather forecast in 2 seconds for south carolina,0,0,11,60,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,1,4,GetWeather
14,play a record by black wall street records,0,0,8,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,4,PlayMusic
15,let s listen to the most popular marty friedman songs on zvooq,0,0,12,62,0,0,0,0,0,0,0,0,1,5,1,0,0,0,3,0,2,3,3,PlayMusic
16,i need to know the weather seven weeks from now in morgan–monroe state forest,0,0,14,77,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,3,2,1,6,GetWeather
17,when it comes to dukes and the district of columbia what will the weather be in one hour,0,0,18,88,0,1,0,1,0,0,0,0,0,11,0,0,1,0,0,2,2,0,5,GetWeather
18,will it be hotter in ct at 6 am,0,0,9,31,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,2,1,1,GetWeather
19,is it going to get windy today in tunisia,0,0,9,41,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,2,3,1,2,GetWeather
20,play a martyn bennett from 1957 on pandora,0,0,8,42,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,1,0,3,PlayMusic
